Timestamp,Your Age,Gender,State you reside in,City you reside in,Product(s) you like/wish to purchase,Do you like to visit to parties more frequently?
09-06-2021 20:35,0-17,Male,Uttar Pradesh,Tier 2,Smartwatch,Yes
09-06-2021 20:36,30-45,Female,Uttar Pradesh,Tier 2,Perfume,Yes
09-06-2021 20:36,18-30,Female,Uttar Pradesh,Tier 2,Books,No
09-06-2021 20:37,45 and above,Female,Uttar Pradesh,Tier 2, Shoes,No
09-06-2021 20:37,18-30,Female,New Delhi,Tier 1,Smartwatch,No
09-06-2021 20:41,18-30,Male,Uttar Pradesh,Tier 1, Shoes,Yes
09-06-2021 20:41,18-30,Female,Uttar Pradesh,Tier 2,Wallet,No
09-06-2021 20:47,18-30,Male,Haryana,Tier 2,Headphones/Earphones,No
09-06-2021 20:48,18-30,Female,Haryana,Tier 2,Books,No
09-06-2021 20:48,18-30,Female,Haryana,Tier 1,Headphones/Earphones,Yes
09-06-2021 20:48,18-30,Female,New Delhi,Tier 1,Shoes,Yes
09-06-2021 20:52,18-30,Female,Haryana,Tier 1,Perfume,Yes
09-06-2021 20:54,18-30,Female,Rajasthan,Tier 2,Headphones/Earphones,Yes
09-06-2021 20:58,18-30,Male,Uttar Pradesh,Tier 2,Books,Yes
09-06-2021 20:59,18-30,Male,Bihar,Tier 2,Smartwatch,No
09-06-2021 21:04,18-30,Female,Uttar Pradesh,Tier 1,Headphones/Earphones,Yes
09-06-2021 21:05,18-30,Female,Haryana,Tier 3,Books,Yes
09-06-2021 21:06,18-30,Female,Uttar Pradesh,Tier 3,Headphones/Earphones,Yes
09-06-2021 21:09,18-30,Male,Bihar,Tier 3,Books,No
09-06-2021 21:24,18-30,Female,Uttar Pradesh,Tier 1,Shoes,No
09-06-2021 22:45,18-30,Female,Uttar Pradesh,Tier 1,Smartwatch,Yes
09-06-2021 22:59,18-30,Female,New Delhi,Tier 1,Smartwatch,No
09-06-2021 23:08,18-30,Female,Chhattisgarh,Tier 3,Shoes,Yes
09-06-2021 23:08,18-30,Female,Karnataka,Tier 1,Wallet,Yes
09-06-2021 23:08,18-30,Female,Bihar,Tier 1,Headphones/Earphones,Yes
09-06-2021 23:09,18-30,Male,Andhra Pradesh,Tier 2,Perfume,Yes
09-06-2021 23:09,18-30,Female,Gujarat,Tier 2,Wallet,Yes
09-06-2021 23:09,18-30,Male,Chhattisgarh,Tier 1,Headphones/Earphones,No
09-06-2021 23:09,18-30,Other,New Delhi,Tier 1,Shoes,Yes
09-06-2021 23:10,18-30,Male,Asom (Assam),Tier 2,Wallet,Yes
09-06-2021 23:36,18-30,Male,Bihar,Tier 2,Shoes,Yes
10-06-2021 00:59,18-30,Male,Uttar Pradesh,Tier 1,Books,No
10-06-2021 05:59,18-30,Male,Rajasthan,Tier 2,Shoes,Yes
10-06-2021 14:50,18-30,Male,Uttar Pradesh,Tier 1,Shoes,Yes
10-06-2021 14:54,18-30,Male,New Delhi,Tier 1,Shoes,No
10-06-2021 14:57,18-30,Female,Uttar Pradesh,Tier 3,Headphones/Earphones,Yes
10-06-2021 15:02,0-17,Male,Andhra Pradesh,Tier 2,Shoes,Yes
10-06-2021 15:02,45 and above,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,No
10-06-2021 15:03,18-30,Female,Uttarakhand (Uttaranchal),Tier 3,Headphones/Earphones,No
10-06-2021 15:03,18-30,Female,Himachal Pradesh,Tier 1,Books,Yes
10-06-2021 15:14,18-30,Female,New Delhi,Tier 1,Shoes,No
10-06-2021 15:29,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
10-06-2021 15:34,18-30,Male,Tamil Nadu,Tier 1,Smartwatch,No
10-06-2021 15:38,18-30,Female,Uttarakhand (Uttaranchal),Tier 3,Smartwatch,No
10-06-2021 15:48,45 and above,Female,Uttarakhand (Uttaranchal),Tier 1,Headphones/Earphones,Yes
10-06-2021 15:54,45 and above,Female,Uttarakhand (Uttaranchal),Tier 1,Headphones/Earphones,Yes
10-06-2021 16:00,18-30,Male,Uttar Pradesh,Tier 2,Smartwatch,No
10-06-2021 16:06,18-30,Male,Tamil Nadu,Tier 3,OTT subscriptions,No
10-06-2021 16:15,18-30,Female,New Delhi,Tier 1,Shoes,No
10-06-2021 16:16,18-30,Male,Uttar Pradesh,Tier 1,Headphones/Earphones,Yes
10-06-2021 16:34,18-30,Male,Uttar Pradesh,Tier 1,OTT subscriptions,No
10-06-2021 16:35,18-30,Male,Madhya Pradesh,Tier 2,OTT subscriptions,No
10-06-2021 16:59,18-30,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
10-06-2021 17:14,18-30,Male,Uttar Pradesh,Tier 2,Books,Yes
10-06-2021 17:26,30-45,Male,Goa,Tier 1,Shoes,Yes
10-06-2021 17:34,18-30,Female,New Delhi,Tier 2,Headphones/Earphones,Yes
10-06-2021 17:34,18-30,Male,Uttar Pradesh,Tier 3,Headphones/Earphones,No
10-06-2021 17:38,18-30,Female,Bihar,Tier 2,Smartwatch,No
10-06-2021 17:49,18-30,Female,Haryana,Tier 2,Smartwatch,No
10-06-2021 18:00,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
10-06-2021 18:20,18-30,Male,Tamil Nadu,Tier 2,Headphones/Earphones,Yes
10-06-2021 18:30,18-30,Male,New Delhi,Tier 2,Shoes,Yes
10-06-2021 18:37,30-45,Male,Goa,Tier 1,Smartwatch,Yes
10-06-2021 18:51,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
10-06-2021 19:05,18-30,Male,Gujarat,Tier 1,Smartwatch,Yes
10-06-2021 22:50,18-30,Female,Uttar Pradesh,Tier 1,Books,No
10-06-2021 22:50,18-30,Male,Madhya Pradesh,Tier 1,Shoes,Yes
10-06-2021 22:51,18-30,Female,New Delhi,Tier 1,Books,No
10-06-2021 22:53,18-30,Female,Madhya Pradesh,Tier 1,Smartwatch,No
10-06-2021 23:13,18-30,Female,Uttarakhand (Uttaranchal),Tier 1,Wallet,No
10-06-2021 23:17,18-30,Female,Haryana,Tier 1,Smartwatch,Yes
10-06-2021 23:21,18-30,Male,Uttar Pradesh,Tier 1,Shoes,Yes
10-06-2021 23:24,18-30,Male,Bihar,Tier 1,Headphones/Earphones,No
10-06-2021 23:26,18-30,Male,Bihar,Tier 2,Shoes,Yes
10-06-2021 23:29,18-30,Male,Bihar,Tier 1,Shoes,No
10-06-2021 23:31,18-30,Male,Bihar,Tier 1,Wallet,Yes
10-06-2021 23:48,18-30,Female,Bihar,Tier 2,Shoes,No
11-06-2021 00:00,18-30,Male,Bihar,Tier 1,Smartwatch,Yes
11-06-2021 01:20,18-30,Male,Bihar,Tier 1,Headphones/Earphones,Yes
11-06-2021 07:50,0-17,Male,Uttarakhand (Uttaranchal),Tier 1,Shoes,Yes
11-06-2021 10:36,18-30,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
11-06-2021 12:59,18-30,Female,Karnataka,Tier 1,Perfume,Yes
11-06-2021 12:59,30-45,Male,Bihar,Tier 2,Perfume,No
11-06-2021 13:00,30-45,Female,Uttarakhand (Uttaranchal),Tier 2,Smartwatch,No
11-06-2021 13:01,0-17,Male,Uttar Pradesh,Tier 2,Smartwatch,Yes
11-06-2021 13:01,18-30,Male,Uttar Pradesh,Tier 2,Shoes,No
11-06-2021 13:02,18-30,Female,Uttar Pradesh,Tier 3,Books,Yes
11-06-2021 13:03,45 and above,Male,Uttar Pradesh,Tier 2,Shoes,No
11-06-2021 13:03,18-30,Female,Kerala,Tier 3, Books,No
11-06-2021 13:04,30-45,Male,Uttar Pradesh,Tier 3,Headphones/Earphones,Yes
11-06-2021 13:05,18-30,Female,Uttar Pradesh,Tier 1,Shoes,Yes
11-06-2021 13:05,30-45,Female,Uttar Pradesh,Tier 3,Smartwatch,Yes
11-06-2021 13:06,45 and above,Male,Uttar Pradesh,Tier 3,Shoes,No
11-06-2021 13:08,0-17,Female,Goa,Tier 2,Headphones/Earphones,Yes
11-06-2021 13:08,45 and above,Female,Uttarakhand (Uttaranchal),Tier 3,Perfume,Yes
11-06-2021 13:09,0-17,Male,Uttarakhand (Uttaranchal),Tier 2,Shoes,No
11-06-2021 13:09,18-30,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,No
11-06-2021 13:11,30-45,Female,Goa,Tier 2,Books,Yes
11-06-2021 13:12,18-30,Female,Uttarakhand (Uttaranchal),Tier 1,Smartwatch,Yes
11-06-2021 13:13,45 and above,Male,Gujarat,Tier 2,Books,No
